Area,ISO 3 code,Year,Area type,Continent,Ember region,EU,OECD,G20,G7,ASEAN,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change,rn
Switzerland,CHE,2025,Country or economy,Europe,Europe,0.0,1.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,39.22,4.64,13.42,1
Syrian Arab Republic (the),SYR,2024,Country or economy,Asia,Middle East,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,706.19,0.75,0.11,1
Taiwan,TWN,2024,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,635.19,-8.99,-1.4,1
Tajikistan,TJK,2024,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,71.17,-3.25,-4.37,1
"Tanzania, the United Republic of",TZA,2024,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,345.02,-27.73,-7.44,1
Thailand,THA,2024,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,1.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,554.73,5.49,1.0,1
Timor-Leste,TLS,2024,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,1.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,666.67,0.0,0.0,1
Togo,TGO,2024,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,422.54,-14.08,-3.22,1
Tonga,TON,2024,Country or economy,Oceania,Oceania,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,571.43,0.0,0.0,1
Trinidad and Tobago,TTO,2024,Country or economy,North America,Latin America and Caribbean,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,681.68,-0.04,-0.01,1
Tunisia,TUN,2024,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,558.26,-1.89,-0.34,1
Turkey,TUR,2025,Country or economy,Asia,Europe,0.0,1.0,1.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,474.74,5.0,1.06,1
Turkmenistan,TKM,2024,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,1306.27,0.13,0.01,1
Turks and Caicos Islands (the),TCA,2024,Country or economy,North America,Latin America and Caribbean,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,629.63,-24.22,-3.7,1
