pre_release,version,downloads_count
7.0,2.14rc1,7
7.0,2.14.2,2311
7.0,2.14.1,79
7.0,2.14,70
7.0,2.13rc3,8
7.0,2.13rc2,11
7.0,2.13rc1,12
7.0,2.13.5,860
7.0,2.13.4,50
7.0,2.13.3,35
7.0,2.13.2,44
7.0,2.13.1,54
7.0,2.13,49
7.0,2.12rc1,9
7.0,2.12.6,259
7.0,2.12.5,90
7.0,2.12.4,70
7.0,2.12.3,36
7.0,2.12.2,45
7.0,2.12.1,41
7.0,2.12,112
7.0,2.11rc1,10
7.0,2.11.9,266
7.0,2.11.8,35
7.0,2.11.7,51
7.0,2.11.6,41
7.0,2.11.5,39
7.0,2.11.4,36
7.0,2.11.3,77
7.0,2.11.2,55
7.0,2.11.1,39
7.0,2.11,43
7.0,2.10rc2,11
7.0,2.10rc1,11
7.0,2.10.2,665
7.0,2.10.1,64
7.0,2.1,50
7.0,2.1.3,35
7.0,2.1.2,30
7.0,2.1.1,26
7.0,2.1,53
7.0,2.0rc1,11
7.0,2.0b1,6
7.0,2.0.2,41
7.0,2.0.1,35
7.0,2,35
7.0,1.9rc1,7
7.0,1.9.1,52
7.0,1.9,26
7.0,1.8rc1,9
7.0,1.8.2,31
7.0,1.8.1,29
7.0,1.8,41
7.0,1.7rc1,9
7.0,1.7,33
7.0,1.6rc1,9
7.0,1.6.3,27
7.0,1.6.2,26
7.0,1.6.1,26
7.0,1.6,27
7.0,1.5rc1,9
7.0,1.5.3,27
7.0,1.5.2,25
7.0,1.5.1,26
7.0,1.5,25
7.0,1.4rc1,6
7.0,1.4.6,28
7.0,1.4.5,28
7.0,1.4.4,23
7.0,1.4.3,31
7.0,1.4.2,28
7.0,1.4.1,23
7.0,1.4,25
7.0,1.3rc1,7
7.0,1.3.1,49
7.0,1.3,28
7.0,1.2rc1,9
7.0,1.2,78
7.0,1.1rc1,13
7.0,1.13rc1,11
7.0,1.13.4,247
7.0,1.13.3,27
7.0,1.13.2,27
7.0,1.13.1,46
7.0,1.13,59
7.0,1.12rc1,11
7.0,1.12.6,31
7.0,1.12.5,28
7.0,1.12.4,25
7.0,1.12.3,27
7.0,1.12.2,27
7.0,1.12.1,28
7.0,1.12,28
7.0,1.11rc1,9
7.0,1.11.1,30
7.0,1.11,94
7.0,1.10rc1,7
7.0,1.10.1,33
7.0,1.1,46
7.0,1.1,28
7.0,1.0rc2,10
7.0,1.0rc1,13
7.0,1.0b2,23
7.0,1.0b1,4
7.0,1,172
7.0,0.8.9,27
7.0,0.8.8,22
7.0,0.8.7,25
7.0,0.8.6,23
7.0,0.8.5,22
7.0,0.8.4,25
7.0,0.8.3,23
7.0,0.8.2,21
7.0,0.8.10,31
7.0,0.8.1,20
7.0,0.8,25
7.0,0.7,21
7.0,0.6,20
7.0,0.5,22
7.0,0.4.1,21
7.0,0.4,19
7.0,0.3.1,22
7.0,0.3,14
7.0,0.2,20
7.0,0.1,15
6.4,6.4rc1,413
6.4,6.3rc2,20
6.4,6.3rc1,17
6.4,6.3.3,336
6.4,6.3.2,40498
6.4,6.3.1,13424
6.4,6.3,5498
6.4,6.2rc1,15
6.4,6.2.3,4222
6.4,6.2.2,4190
6.4,6.2.1,2485
6.4,6.2,1584
6.4,6.1rc2,12
6.4,6.1rc1,15
6.4,6.1.3,3206
6.4,6.1.2,1424
6.4,6.1.1,1106
6.4,6.1,417
6.4,6.0rc1,15
6.4,6.0.6,1057
6.4,6.0.5,175
6.4,6.0.4,151
6.4,6.0.3,243
6.4,6.0.2,603
6.4,6.0.1,1212
6.4,6.0,472
6.4,5.2rc1,11
6.4,5.2.8,136
6.4,5.2.7,8295
6.4,5.2.6,4586
6.4,5.2.5,2114
6.4,5.2.4,290
6.4,5.2.3,1376
6.4,5.2.2,1355
6.4,5.2.1,1414
6.4,5.2,975
6.4,5.1rc1,13
6.4,5.1.3,1335
6.4,5.1.2,142
6.4,5.1.1,993
6.4,5.1,444
6.4,5.0rc1,20
6.4,5.0.5,1898
6.4,5.0.4,57
6.4,5.0.3,48
6.4,5.0.2,375
6.4,5.0.1,495
6.4,5.0,556
6.4,4.2rc1,10
6.4,4.2.4,1082
6.4,4.2.3,297
6.4,4.2.2,272
6.4,4.2.1,358
6.4,4.2,792
6.4,4.1rc1,15
6.4,4.1.9,784
6.4,4.1.8,48
6.4,4.1.7,46
6.4,4.1.6,81
6.4,4.1.5,61
6.4,4.1.4,63
6.4,4.1.3,63
6.4,4.1.2,54
6.4,4.1.1,1234
6.4,4.1,336
6.4,4.0rc2,18
6.4,4.0rc1,16
6.4,4.0.4,397
6.4,4.0.3,46
6.4,4.0.2,75
6.4,4.0.1,78
6.4,4.0,134
6.4,3.0rc3,24
6.4,3.0rc2,11
6.4,3.0rc1,13
6.4,3.0.3,452
6.4,3.0.2,61
6.4,3.0.1,355
6.4,3.0,189
6.4,2.9rc1,10
6.4,2.9.3,289
6.4,2.9.2,52
6.4,2.9.1,41
6.4,2.9,185
6.4,2.8rc1,12
6.4,2.8.2,81
6.4,2.8.1,49
6.4,2.8,76
6.4,2.7rc2,10
6.4,2.7rc1,8
6.4,2.7.4,195
6.4,2.7.3,51
6.4,2.7.2,50
6.4,2.7.1,84
6.4,2.7,264
6.4,2.6rc1,10
6.4,2.6.3,161
6.4,2.6.2,66
6.4,2.6.1,53
6.4,2.6,56
6.3,6.3rc2,362
6.3,6.3rc1,229
6.3,6.2rc1,15
6.3,6.2.3,63
6.3,6.2.2,28444
6.3,6.2.1,4844
6.3,6.2,2059
6.3,6.1rc2,17
6.3,6.1rc1,18
6.3,6.1.3,4916
6.3,6.1.2,1666
6.3,6.1.1,4031
6.3,6.1,332
6.3,6.0rc1,15
6.3,6.0.6,1722
