month,installer,ci,num_downloads
2025-09-01 00:00:00.000000 UTC,pip,,228701
2025-09-01 00:00:00.000000 UTC,uv,true,84599
2025-09-01 00:00:00.000000 UTC,uv,,54867
2025-09-01 00:00:00.000000 UTC,pip,true,43733
2025-09-01 00:00:00.000000 UTC,,,42159
2025-09-01 00:00:00.000000 UTC,poetry,,25624
2025-09-01 00:00:00.000000 UTC,bandersnatch,,6604
2025-09-01 00:00:00.000000 UTC,requests,,3462
2025-09-01 00:00:00.000000 UTC,Browser,,711
2025-09-01 00:00:00.000000 UTC,Nexus,,257
2025-09-01 00:00:00.000000 UTC,OS,,68
2025-09-01 00:00:00.000000 UTC,devpi,,12
2025-09-01 00:00:00.000000 UTC,pdm,,6
2025-10-01 00:00:00.000000 UTC,pip,,29574
2025-10-01 00:00:00.000000 UTC,uv,true,10253
2025-10-01 00:00:00.000000 UTC,uv,,7900
2025-10-01 00:00:00.000000 UTC,pip,true,6231
2025-10-01 00:00:00.000000 UTC,,,6153
2025-10-01 00:00:00.000000 UTC,poetry,,3958
2025-10-01 00:00:00.000000 UTC,requests,,300
2025-10-01 00:00:00.000000 UTC,Browser,,294
2025-10-01 00:00:00.000000 UTC,Nexus,,37
2025-10-01 00:00:00.000000 UTC,bandersnatch,,14
2025-10-01 00:00:00.000000 UTC,OS,,9
2025-10-01 00:00:00.000000 UTC,devpi,,4
